Time (s),I (mA); w = 100,I (mA); w = 225,I (mA); w = 400,I (mA); w = 625,I (mA); w = 900,I (mA); w = 1225,I (mA); w = 1600
0,0.005,-0.01,0,-0.005,-0.005,0,-0.01
0.02,-0.01,0,-0.01,-0.01,-0.005,-0.01,-0.005
0.039,0,-0.005,-0.005,-0.005,-0.005,-0.005,-0.015
0.059,-0.01,-0.005,-0.005,-0.005,-0.005,-0.015,0
0.078,-0.005,-0.01,0,-0.01,-0.005,0,-0.01
0.098,-0.01,-0.005,-0.01,-0.01,-0.005,-0.01,-0.015
0.117,0,-0.01,-0.005,-0.005,-0.005,-0.01,-0.015
0.137,-0.01,-0.005,-0.005,-0.005,-0.01,-0.01,-0.01
0.156,-0.005,0.005,-0.005,-0.005,-0.015,-0.02,-0.02
0.176,0,-0.005,-0.01,-0.01,-0.015,-0.02,-0.024
0.195,-0.005,-0.005,-0.005,-0.01,-0.015,-0.034,-0.02
0.215,-0.01,-0.01,-0.01,-0.02,-0.01,-0.015,-0.024
0.234,-0.015,0,-0.01,-0.01,-0.02,-0.024,-0.02
0.254,-0.005,-0.005,-0.01,-0.015,-0.015,-0.02,-0.024
0.273,0,-0.005,-0.015,-0.01,-0.024,-0.024,-0.024
0.293,-0.005,-0.01,-0.005,-0.02,-0.01,-0.024,-0.024
0.312,-0.01,-0.01,-0.01,-0.015,-0.024,-0.024,-0.02
0.332,-0.005,-0.005,-0.01,-0.024,-0.015,-0.015,-0.02
0.352,-0.005,0,-0.01,-0.01,-0.024,-0.024,-0.02
0.371,0,-0.005,-0.015,-0.02,-0.015,-0.024,-0.029
0.391,-0.005,-0.005,-0.024,-0.015,-0.024,-0.029,-0.029
0.41,-0.005,-0.015,-0.01,-0.024,-0.01,-0.024,-0.024
0.43,-0.01,-0.01,-0.015,-0.015,-0.024,-0.024,-0.015
0.449,-0.005,-0.015,-0.01,-0.02,-0.015,-0.015,-0.024
0.469,-0.005,0,-0.015,-0.01,-0.02,-0.029,-0.02
0.488,0,-0.015,-0.015,-0.02,-0.02,-0.02,-0.034
0.508,-0.005,-0.005,-0.024,-0.015,-0.024,-0.029,-0.015
0.527,-0.005,-0.015,-0.01,-0.024,-0.015,-0.015,-0.029
0.547,-0.01,0,-0.02,-0.02,-0.02,-0.024,-0.02
0.566,0,-0.015,-0.005,-0.02,-0.02,-0.02,-0.029
0.586,-0.005,-0.005,-0.02,-0.02,-0.015,-0.029,-0.02
0.605,0,-0.02,-0.02,-0.02,-0.024,-0.02,-0.029
0.625,-0.01,-0.005,-0.02,-0.02,-0.024,-0.029,-0.015
0.645,0,-0.015,-0.005,-0.015,-0.024,-0.015,-0.029
0.664,-0.005,-0.005,-0.02,-0.024,-0.015,-0.029,-0.024
0.684,0,-0.015,-0.015,-0.02,-0.024,-0.02,-0.029
0.703,-0.01,-0.01,-0.024,-0.024,-0.024,-0.024,-0.02
0.723,-0.005,-0.01,-0.015,-0.02,-0.029,-0.024,-0.029
0.742,-0.01,-0.01,-0.02,-0.02,-0.024,-0.024,-0.024
0.762,0,-0.015,-0.01,-0.024,-0.024,-0.024,-0.029
0.781,-0.01,-0.015,-0.02,-0.029,-0.01,-0.024,-0.024
0.801,-0.005,-0.01,-0.015,-0.024,-0.024,-0.02,-0.02
0.82,-0.01,-0.015,-0.01,-0.02,-0.024,-0.01,-0.024
0.84,-0.005,0,-0.015,-0.01,-0.029,-0.029,-0.029
0.859,0,-0.015,-0.015,-0.024,-0.015,-0.024,-0.029
0.879,-0.005,-0.01,-0.015,-0.02,-0.024,-0.024,-0.024
0.898,-0.005,-0.02,-0.015,-0.029,-0.015,-0.02,-0.024
0.918,-0.01,-0.015,-0.02,-0.02,-0.029,-0.02,-0.024
0.937,-0.005,-0.01,-0.02,-0.024,-0.02,-0.029,-0.029
0.957,-0.005,-0.015,-0.024,-0.015,-0.029,-0.034,-0.024
0.977,-0.01,-0.02,-0.02,-0.024,-0.015,-0.024,-0.029
0.996,-0.01,-0.015,-0.015,-0.02,-0.024,-0.024,-0.02
1.016,-0.01,-0.02,-0.01,-0.029,-0.02,-0.02,-0.024
1.035,-0.01,-0.005,-0.02,-0.01,-0.029,-0.02,-0.024
1.055,-0.005,-0.015,-0.02,-0.02,-0.02,-0.02,-0.029
1.074,-0.01,-0.015,-0.024,-0.015,-0.024,-0.034,-0.02
1.094,-0.005,-0.02,-0.01,-0.024,-0.02,-0.02,-0.029
1.113,-0.015,-0.01,-0.02,-0.02,-0.024,-0.024,-0.015
1.133,-0.005,-0.02,-0.01,-0.024,-0.024,-0.015,-0.029
1.152,-0.005,-0.005,-0.024,-0.01,-0.024,-0.024,-0.02
1.172,0,-0.02,-0.015,-0.024,-0.024,-0.024,-0.029
1.191,-0.01,-0.01,-0.024,-0.02,-0.029,-0.029,-0.01
1.211,-0.005,-0.02,-0.01,-0.02,-0.034,-0.015,-0.029
